n,slug,poster_caption,label,family,slot,aspect_trimmed,extracted,note
1,symboles_des_cadets,SYMBOLES DES CADETS,Poster title,not_a_badge,,4.8337,yes,
2,royaux_de_larmée,ROYAUX DE L'ARMÉE,Poster title,not_a_badge,,2.2157,yes,
3,unnamed,,Poster title block,not_a_badge,,1.1826,yes,
4,royaux,ROYAUX,Poster title fragment,not_a_badge,,1.4938,yes,
5,cadets,CADETS,Poster title fragment,not_a_badge,,2.6559,yes,
6,canadienne,CANADIENNE,Poster title fragment,not_a_badge,,1.4938,yes,
7,larmée_canadienne,L'ARMÉE CANADIENNE,Poster title fragment,not_a_badge,,2.6559,yes,
8,emblem,Emblem,RCAC Emblem,heraldry,,0.8936,yes,Marketing use. Not worn on uniform.
9,headdress_badge,Headdress Badge,Headdress Badge,heraldry,,0.9209,yes,"Cap badge, not a sleeve item."
10,unnamed_2,,RCAC Banner,heraldry,,1.343,yes,
11,royal_canadian_army_cadets_camp_flag,Royal Canadian Army Cadets Camp Flag,Camp Flag,heraldry,,1.157,yes,
12,unnamed_3,,Cadets Flag,heraldry,,1.2915,yes,
13,pipe_banner,Pipe Banner,Pipe Banner,heraldry,,0.6714,yes,
14,trumpet_banner,Trumpet Banner,Trumpet Banner,heraldry,,0.7515,yes,
15,da_vi_d_d_e_f_al_ar_de,Da vi d- d e- F al ar de,Shoulder title + RCAC badge (example 1),shoulder,*_corps_name / *_rcac_badge,1.1226,yes,BAD CROP: merges corps name title with the RCAC circle below it.
16,unnamed_4,,Commander's Cadet Commendation Pin,out_of_scope,out_of_scope_*,4.0625,yes,"Pinned insignia, front of tunic."
17,unnamed_5,,Shoulder title + RCAC badge (example 2),shoulder,*_corps_name / *_rcac_badge,1.1226,yes,"BAD CROP: same template as item 15, different corps name."
18,master_corporal,Master Corporal,Master Corporal,rank,right_rank_*,0.9961,yes,
19,sergeant,Sergeant,Sergeant,rank,right_rank_*,0.8295,yes,
20,chief_warrant_officer,Chief Warrant Officer,Chief Warrant Officer,rank,right_rank_*,0.7439,yes,
21,drum_major,Drum Major,Drum Major,appointment,right_appointment,0.8826,yes,
22,pipe_major,Pipe Major,Pipe Major,appointment,right_appointment,0.8826,yes,
23,corporal,Corporal,Corporal,rank,right_rank_*,1.1216,yes,
24,master_warrant_officer,Master Warrant Officer,Master Warrant Officer,rank,right_rank_*,1.2749,yes,
25,lance_corporal,Lance Corporal,Lance Corporal,rank,right_rank_*,1.3743,yes,
26,unnamed_6,,Warrant Officer,rank,right_rank_*,1.0194,yes,Caption lost by the extractor.
27,level_1,Level 1,National Star of Excellence 1,terminated,,1.0,yes,Terminated programme.
28,level_2,Level 2,National Star of Excellence 2,terminated,,1.0,yes,Terminated programme.
29,level_3,Level 3,National Star of Excellence 3,terminated,,1.0,yes,Terminated programme.
30,level_4,Level 4,National Star of Excellence 4,terminated,,1.0,yes,Terminated programme.
31,green_star,Green Star,Green Star,star,right_star_level,1.0468,yes,
32,red_star,Red Star,Red Star,star,right_star_level,1.0487,yes,
33,silver_star,Silver Star,Silver Star,star,right_star_level,1.0487,yes,
