slug,caption,x_pt,y_pt,w_pt,h_pt,aspect,svg,png,qual_type,qual_category,qualification_name,slot
symboles_des_cadets,SYMBOLES DES CADETS,256.7,0.0,278.9,121.9,2.287,symboles_des_cadets.svg,symboles_des_cadets.png,,,,
royaux_de_larmée,ROYAUX DE L'ARMÉE,882.0,0.0,131.7,123.7,1.064,royaux_de_larmée.svg,royaux_de_larmée.png,,,,
unnamed,,1429.1,15.8,158.4,154.4,1.026,unnamed.svg,unnamed.png,,,,
royaux,ROYAUX,787.8,82.5,43.1,28.8,1.497,royaux.svg,royaux.png,,,,
cadets,CADETS,591.5,99.9,99.1,37.2,2.667,cadets.svg,cadets.png,,,,
canadienne,CANADIENNE,1334.9,99.3,43.1,28.8,1.497,canadienne.svg,canadienne.png,,,,
larmée_canadienne,L'ARMÉE CANADIENNE,1138.6,116.7,99.1,37.2,2.667,larmée_canadienne.svg,larmée_canadienne.png,,,,
emblem,Emblem,116.9,308.3,164.2,183.4,0.896,emblem.svg,emblem.png,,,,
unnamed_2,,389.5,323.0,158.9,116.1,1.369,unnamed_2.svg,unnamed_2.png,,,,
royal_canadian_army_cadets_camp_flag,Royal Canadian Army Cadets Camp Flag,631.1,326.0,176.4,152.7,1.155,royal_canadian_army_cadets_camp_flag.svg,royal_canadian_army_cadets_camp_flag.png,,,,
unnamed_3,,866.1,325.9,147.6,111.9,1.319,unnamed_3.svg,unnamed_3.png,,,,
headdress_badge,Headdress Badge,1445.9,309.0,169.2,177.5,0.953,headdress_badge.svg,headdress_badge.png,,,,
trumpet_banner,Trumpet Banner,1093.5,339.0,95.5,125.1,0.764,trumpet_banner.svg,trumpet_banner.png,,,,
pipe_banner,Pipe Banner,1242.8,337.0,85.0,123.9,0.686,pipe_banner.svg,pipe_banner.png,,,,
da_vi_d_d_e_f_al_ar_de,Da vi d- d e- F al ar de,152.9,618.0,212.5,189.9,1.119,da_vi_d_d_e_f_al_ar_de.svg,da_vi_d_d_e_f_al_ar_de.png,,,,
unnamed_4,,526.5,708.5,98.5,28.4,3.464,unnamed_4.svg,unnamed_4.png,,,,
unnamed_5,,152.9,822.6,212.5,189.9,1.119,unnamed_5.svg,unnamed_5.png,,,,
master_corporal,Master Corporal,414.2,1091.8,158.3,160.4,0.987,master_corporal.svg,master_corporal.png,,,,
sergeant,Sergeant,587.7,1094.4,158.3,190.3,0.832,sergeant.svg,sergeant.png,,,,
drum_major,Drum Major,1302.9,1099.9,158.3,179.2,0.883,drum_major.svg,drum_major.png,,,,
pipe_major,Pipe Major,1509.2,1099.9,158.3,179.2,0.883,pipe_major.svg,pipe_major.png,,,,
corporal,Corporal,240.4,1119.7,158.7,142.6,1.113,corporal.svg,corporal.png,,,,
chief_warrant_officer,Chief Warrant Officer,1127.7,1110.0,119.7,158.9,0.753,chief_warrant_officer.svg,chief_warrant_officer.png,,,,
lance_corporal,Lance Corporal,66.8,1144.7,158.7,117.6,1.349,lance_corporal.svg,lance_corporal.png,,,,
unnamed_6,,788.2,1139.5,102.8,99.6,1.032,unnamed_6.svg,unnamed_6.png,,,,
master_warrant_officer,Master Warrant Officer,945.6,1135.1,136.9,108.6,1.26,master_warrant_officer.svg,master_warrant_officer.png,,,,
level_1,Level 1,639.8,1410.0,119.4,119.4,1.0,level_1.svg,level_1.png,,,,
level_2,Level 2,807.8,1410.0,119.4,119.4,1.0,level_2.svg,level_2.png,,,,
level_3,Level 3,975.8,1410.0,119.4,119.4,1.0,level_3.svg,level_3.png,,,,
level_4,Level 4,1143.8,1410.0,119.4,119.4,1.0,level_4.svg,level_4.png,,,,
green_star,Green Star,64.9,1432.9,73.3,70.1,1.046,green_star.svg,green_star.png,,,,
red_star,Red Star,162.9,1432.9,73.3,70.1,1.046,red_star.svg,red_star.png,,,,
silver_star,Silver Star,260.9,1432.9,73.3,70.1,1.046,silver_star.svg,silver_star.png,,,,
gold_star,Gold Star,358.9,1432.9,73.3,70.1,1.046,gold_star.svg,gold_star.png,,,,
master_cadet,Master Cadet,459.8,1432.9,123.6,70.0,1.767,master_cadet.svg,master_cadet.png,,,,
bronze_level,Bronze Level,1318.1,1437.5,92.6,78.4,1.182,bronze_level.svg,bronze_level.png,,,,
silver_level,Silver Level,1448.8,1437.5,92.6,78.4,1.182,silver_level.svg,silver_level.png,,,,
gold_level,Gold Level,1585.4,1437.5,92.6,78.4,1.182,gold_level.svg,gold_level.png,,,,
general_training,General Training,65.5,1667.8,70.8,70.8,1.0,general_training.svg,general_training.png,,,,
basic_expedition,Basic Expedition,202.4,1667.8,70.8,70.8,1.0,basic_expedition.svg,basic_expedition.png,,,,
expedition_instructor,Expedition Instructor,313.7,1667.8,70.8,70.8,1.0,expedition_instructor.svg,expedition_instructor.png,,,,
leadership_and_challenge,Leadership and Challenge,427.3,1667.8,70.8,70.8,1.0,leadership_and_challenge.svg,leadership_and_challenge.png,,,,
basic_marksman,Basic Marksman,580.0,1667.8,70.8,70.8,1.0,basic_marksman.svg,basic_marksman.png,,,,
air_rifle_marksmanship,Air Rifle Marksmanship,701.9,1667.8,70.8,70.8,1.0,air_rifle_marksmanship.svg,air_rifle_marksmanship.png,,,,
fullbore_marksmanship,Fullbore Marksmanship,823.8,1667.8,70.8,70.8,1.0,fullbore_marksmanship.svg,fullbore_marksmanship.png,,,,
fullbore_marksmanship_2,Fullbore Marksmanship,945.7,1667.8,70.8,70.8,1.0,fullbore_marksmanship_2.svg,fullbore_marksmanship_2.png,,,,
basic_fitness_and_sports,Basic Fitness and Sports,1103.8,1667.8,70.8,70.8,1.0,basic_fitness_and_sports.svg,basic_fitness_and_sports.png,,,,
fitness_and_sports_instructor,Fitness and Sports Instructor,1237.9,1667.8,70.8,70.8,1.0,fitness_and_sports_instructor.svg,fitness_and_sports_instructor.png,,,,
basic_drill_and_ceremonial,Basic Drill and Ceremonial,1434.4,1667.8,70.8,70.8,1.0,basic_drill_and_ceremonial.svg,basic_drill_and_ceremonial.png,,,,
and_ceremonial_instructor,and Ceremonial Instructor,1566.9,1667.8,70.8,70.8,1.0,and_ceremonial_instructor.svg,and_ceremonial_instructor.png,,,,
staff_cadet,Staff Cadet,61.1,1820.2,70.4,70.4,1.0,staff_cadet.svg,staff_cadet.png,,,,
army_cadet_voyage,Army Cadet Voyage,171.7,1820.5,70.4,70.4,1.0,army_cadet_voyage.svg,army_cadet_voyage.png,,,,
maple_leaf,Maple Leaf,282.2,1820.5,70.4,70.4,1.0,maple_leaf.svg,maple_leaf.png,,,,
canadian_armed_forces,Canadian Armed Forces,753.9,1815.8,190.7,81.9,2.328,canadian_armed_forces.svg,canadian_armed_forces.png,,,,
military_band,Military Band,1010.9,1818.1,70.8,70.8,1.0,military_band.svg,military_band.png,,,,
military_band_2,Military Band,1122.1,1818.1,70.8,70.8,1.0,military_band_2.svg,military_band_2.png,,,,
military_band_3,Military Band,1231.6,1818.1,70.8,70.8,1.0,military_band_3.svg,military_band_3.png,,,,
pipe_band,Pipe Band,1369.3,1818.1,70.8,70.8,1.0,pipe_band.svg,pipe_band.png,,,,
pipe_band_2,Pipe Band,1479.5,1818.1,70.8,70.8,1.0,pipe_band_2.svg,pipe_band_2.png,,,,
pipe_band_3,Pipe Band,1589.0,1818.1,70.8,70.8,1.0,pipe_band_3.svg,pipe_band_3.png,,,,
distinguished_marksman,Distinguished Marksman,1559.2,2042.4,94.0,111.7,0.842,distinguished_marksman.svg,distinguished_marksman.png,,,,
marksman,Marksman,1152.1,2050.7,95.4,128.6,0.742,marksman.svg,marksman.png,,,,
first_class_marksman,First Class Marksman,1276.0,2050.7,95.4,128.6,0.742,first_class_marksman.svg,first_class_marksman.png,,,,
expert_marksman,Expert Marksman,1412.1,2050.7,95.4,128.6,0.742,expert_marksman.svg,expert_marksman.png,,,,
emergency,Emergency,821.0,2079.9,69.5,70.5,0.985,emergency.svg,emergency.png,,,,
standard,Standard,942.1,2079.9,69.5,70.5,0.985,standard.svg,standard.png,,,,
basic_qualification,Basic Qualification,1179.1,2304.8,71.3,72.4,0.985,basic_qualification.svg,basic_qualification.png,,,,
